Security ,date,Return 
DXY,04/01/2000,0.77
DXY,11/01/2000,1.05
DXY,18/01/2000,0.15
DXY,25/01/2000,2.87
DXY,01/02/2000,-0.47
DXY,08/02/2000,0.08
DXY,15/02/2000,-0.13
DXY,22/02/2000,0.66
DXY,29/02/2000,0.85
DXY,07/03/2000,-0.62
DXY,14/03/2000,-0.33
DXY,21/03/2000,0.29
DXY,28/03/2000,0.09
DXY,04/04/2000,0.13
DXY,11/04/2000,0.43
DXY,18/04/2000,1.08
DXY,25/04/2000,2.19
DXY,02/05/2000,1.66
DXY,09/05/2000,-0.8
DXY,16/05/2000,0.45
DXY,23/05/2000,-1.75
DXY,30/05/2000,-1.52
DXY,06/06/2000,-0.46
DXY,13/06/2000,-0.6
DXY,20/06/2000,1.67
DXY,27/06/2000,-0.97
DXY,04/07/2000,-0.05
DXY,11/07/2000,1.58
DXY,18/07/2000,-0.01
DXY,25/07/2000,0.81
DXY,01/08/2000,1.12
DXY,08/08/2000,0.25
DXY,15/08/2000,0.34
DXY,22/08/2000,0
DXY,29/08/2000,-0.04
DXY,05/09/2000,3.55
DXY,12/09/2000,0.55
DXY,19/09/2000,-1.67
DXY,26/09/2000,-0.24
DXY,03/10/2000,0.9
DXY,10/10/2000,1.38
DXY,17/10/2000,0.99
DXY,24/10/2000,-0.25
DXY,31/10/2000,-1.33
DXY,07/11/2000,0.01
DXY,14/11/2000,1.43
DXY,21/11/2000,-0.21
DXY,28/11/2000,-2.89
DXY,05/12/2000,0.51
DXY,12/12/2000,-1.07
DXY,19/12/2000,-1.99
DXY,26/12/2000,-1.14
DXY,02/01/2001,-0.64
DXY,09/01/2001,1.02
DXY,16/01/2001,0.25
DXY,23/01/2001,1.39
DXY,30/01/2001,-1.68
DXY,06/02/2001,1.18
DXY,13/02/2001,0.66
DXY,20/02/2001,0.76
DXY,27/02/2001,-1.09
DXY,06/03/2001,0.42
DXY,13/03/2001,2.85
DXY,20/03/2001,0.01
DXY,27/03/2001,1.85
DXY,03/04/2001,-1.82
DXY,10/04/2001,0.84
DXY,17/04/2001,-1.21
DXY,24/04/2001,0.94
DXY,01/05/2001,-0.46
DXY,08/05/2001,1.58
DXY,15/05/2001,-0.53
DXY,22/05/2001,1.42
DXY,29/05/2001,0.85
DXY,05/06/2001,0.72
DXY,12/06/2001,-1.41
DXY,19/06/2001,-0.03
DXY,26/06/2001,1.14
DXY,03/07/2001,0.18
DXY,10/07/2001,-0.49
DXY,17/07/2001,-1.22
DXY,24/07/2001,-0.55
DXY,31/07/2001,-0.67
DXY,07/08/2001,-1.21
DXY,14/08/2001,-1.4
DXY,21/08/2001,-0.01
DXY,28/08/2001,0.25
DXY,04/09/2001,0.79
DXY,11/09/2001,-2.23
DXY,18/09/2001,0.74
DXY,25/09/2001,0.14
DXY,02/10/2001,-0.36
DXY,09/10/2001,1.09
DXY,16/10/2001,1.7
DXY,23/10/2001,-1.13
DXY,30/10/2001,0.09
DXY,06/11/2001,0.7
DXY,13/11/2001,1.38
DXY,20/11/2001,0.15
DXY,27/11/2001,-0.98
DXY,04/12/2001,0.26
DXY,11/12/2001,-1.14
DXY,18/12/2001,2.62
DXY,25/12/2001,-1.01
DXY,01/01/2002,-0.36
DXY,08/01/2002,0.27
DXY,15/01/2002,0.87
DXY,22/01/2002,2.02
DXY,29/01/2002,-0.95
DXY,05/02/2002,-0.39
DXY,12/02/2002,0.27
DXY,19/02/2002,0.31
DXY,26/02/2002,-0.27
DXY,05/03/2002,-0.91
DXY,12/03/2002,-0.2
DXY,19/03/2002,0.51
DXY,26/03/2002,-0.28
DXY,02/04/2002,0.37
DXY,09/04/2002,-0.47
DXY,16/04/2002,-1.03
DXY,23/04/2002,-1.32
DXY,30/04/2002,-1.07
DXY,07/05/2002,0.43
DXY,14/05/2002,-1.17
DXY,21/05/2002,0.16
DXY,28/05/2002,-1.5
DXY,04/06/2002,-0.18
DXY,11/06/2002,-0.23
DXY,18/06/2002,-2.38
DXY,25/06/2002,-1.57
DXY,02/07/2002,-0.2
DXY,09/07/2002,-1.53
DXY,16/07/2002,0.08
DXY,23/07/2002,2.24
DXY,30/07/2002,0.16
DXY,06/08/2002,0.13
DXY,13/08/2002,0.1
DXY,20/08/2002,0.32
DXY,27/08/2002,-0.82
DXY,03/09/2002,0.11
DXY,10/09/2002,1.06
DXY,17/09/2002,-0.35
DXY,24/09/2002,-0.92
DXY,01/10/2002,0.64
DXY,08/10/2002,-0.37
DXY,15/10/2002,1.01
DXY,22/10/2002,-0.99
DXY,29/10/2002,-0.97
DXY,05/11/2002,-1.46
DXY,12/11/2002,0.6
DXY,19/11/2002,1.27
DXY,26/11/2002,-0.18
DXY,03/12/2002,-1.04
DXY,10/12/2002,-1.12
DXY,17/12/2002,-0.4
DXY,24/12/2002,-1.57
DXY,31/12/2002,-0.04
DXY,07/01/2003,-0.49
DXY,14/01/2003,-0.91
DXY,21/01/2003,-1.28
DXY,28/01/2003,0.64
DXY,04/02/2003,0.37
DXY,11/02/2003,-0.23
DXY,18/02/2003,-0.38
DXY,25/02/2003,-0.56
DXY,04/03/2003,-1.26
DXY,11/03/2003,2.95
DXY,18/03/2003,0.24
DXY,25/03/2003,-1.9
DXY,01/04/2003,2
DXY,08/04/2003,-1.07
DXY,15/04/2003,-0.37
DXY,22/04/2003,-0.92
DXY,29/04/2003,-2.33
DXY,06/05/2003,-1.89
DXY,13/05/2003,-0.81
DXY,20/05/2003,-0.78
DXY,27/05/2003,0.31
DXY,03/06/2003,-0.04
DXY,10/06/2003,-0.96
DXY,17/06/2003,1.82
DXY,24/06/2003,0.69
DXY,01/07/2003,0.82
DXY,08/07/2003,0.59
DXY,15/07/2003,0.04
DXY,22/07/2003,-1.09
DXY,29/07/2003,1.18
DXY,05/08/2003,-0.32
DXY,12/08/2003,1.54
DXY,19/08/2003,1.52
DXY,26/08/2003,-0.84
DXY,02/09/2003,-0.86
DXY,09/09/2003,-1.21
DXY,16/09/2003,-2.22
DXY,23/09/2003,-0.82
DXY,30/09/2003,-0.72
DXY,07/10/2003,-0.56
DXY,14/10/2003,0.59
DXY,21/10/2003,-0.89
DXY,28/10/2003,2.24
DXY,04/11/2003,-0.65
DXY,11/11/2003,-1.63
DXY,18/11/2003,0.07
DXY,25/11/2003,-1.35
DXY,02/12/2003,-1.77
DXY,09/12/2003,-0.33
DXY,16/12/2003,-0.53
DXY,23/12/2003,-0.73
DXY,30/12/2003,-1.47
DXY,06/01/2004,-0.6
DXY,13/01/2004,2.47
DXY,20/01/2004,-0.47
DXY,27/01/2004,0.32
DXY,03/02/2004,-1.75
DXY,10/02/2004,-0.62
DXY,17/02/2004,1.84
DXY,24/02/2004,0.55
DXY,02/03/2004,0.55
DXY,09/03/2004,0.92
DXY,16/03/2004,-1.13
DXY,23/03/2004,0.93
DXY,30/03/2004,0.67
DXY,06/04/2004,-0.3
DXY,13/04/2004,0.96
DXY,20/04/2004,0.91
DXY,27/04/2004,0.15
DXY,04/05/2004,0.88
DXY,11/05/2004,-0.61
DXY,18/05/2004,-0.57
DXY,25/05/2004,-1.69
DXY,01/06/2004,-0.79
DXY,08/06/2004,1.92
DXY,15/06/2004,-0.72
DXY,22/06/2004,-0.64
DXY,29/06/2004,-0.55
DXY,06/07/2004,-0.95
DXY,13/07/2004,-0.24
DXY,20/07/2004,2.12
DXY,27/07/2004,0.81
DXY,03/08/2004,-1.52
DXY,10/08/2004,-0.49
DXY,17/08/2004,1.25
DXY,24/08/2004,0.71
DXY,31/08/2004,-0.18
DXY,07/09/2004,-1.09
DXY,14/09/2004,0.5
DXY,21/09/2004,-0.79
DXY,28/09/2004,0.1
DXY,05/10/2004,-0.95
DXY,12/10/2004,-0.59
DXY,19/10/2004,-2.36
DXY,26/10/2004,0.27
DXY,02/11/2004,-1.3
DXY,09/11/2004,-0.11
DXY,16/11/2004,-0.96
DXY,23/11/2004,-1.51
DXY,30/11/2004,-0.79
DXY,07/12/2004,1.01
DXY,14/12/2004,-0.52
DXY,21/12/2004,-1.16
DXY,28/12/2004,0.72
DXY,04/01/2005,2.45
DXY,11/01/2005,-0.28
DXY,18/01/2005,0.22
DXY,25/01/2005,0.43
DXY,01/02/2005,1.72
DXY,08/02/2005,-1.27
DXY,15/02/2005,-0.49
DXY,22/02/2005,-1.24
DXY,01/03/2005,0.34
DXY,08/03/2005,-0.99
DXY,15/03/2005,1.11
DXY,22/03/2005,2.1
DXY,29/03/2005,0.19
DXY,05/04/2005,-0.73
DXY,12/04/2005,-0.19
DXY,19/04/2005,-0.21
DXY,26/04/2005,0.8
DXY,03/05/2005,0.18
DXY,10/05/2005,1.75
DXY,17/05/2005,0.33
DXY,24/05/2005,0.02
DXY,31/05/2005,1.37
DXY,07/06/2005,1.54
DXY,14/06/2005,-0.52
DXY,21/06/2005,-0.05
DXY,28/06/2005,2.24
DXY,05/07/2005,-1.07
DXY,12/07/2005,0.2
DXY,19/07/2005,-0.04
DXY,26/07/2005,-0.89
DXY,02/08/2005,-0.99
DXY,09/08/2005,-0.68
DXY,16/08/2005,0.94
DXY,23/08/2005,0.12
DXY,30/08/2005,-2.21
DXY,06/09/2005,1.63
DXY,13/09/2005,0.83
DXY,20/09/2005,0.76
DXY,27/09/2005,1.14
DXY,04/10/2005,-0.74
DXY,11/10/2005,0.38
DXY,18/10/2005,0.35
DXY,25/10/2005,-0.04
DXY,01/11/2005,1.35
DXY,08/11/2005,0.92
DXY,15/11/2005,-0.11
DXY,22/11/2005,-1.14
DXY,29/11/2005,0.55
DXY,06/12/2005,-1.24
DXY,13/12/2005,-0.53
DXY,20/12/2005,1.08
DXY,27/12/2005,0.36
DXY,03/01/2006,-2.11
DXY,10/01/2006,-0.4
DXY,17/01/2006,-1.06
DXY,24/01/2006,1.67
DXY,31/01/2006,0.97
DXY,07/02/2006,0.28
DXY,14/02/2006,0.11
DXY,21/02/2006,-0.01
DXY,28/02/2006,-0.82
DXY,07/03/2006,0.72
DXY,14/03/2006,-1.56
DXY,21/03/2006,1.05
DXY,28/03/2006,-0.49
DXY,04/04/2006,0.1
DXY,11/04/2006,-1.2
DXY,18/04/2006,-1.34
DXY,25/04/2006,-1.69
DXY,02/05/2006,-0.86
DXY,09/05/2006,-0.81
DXY,16/05/2006,-0.22
DXY,23/05/2006,1.08
DXY,30/05/2006,-1.31
DXY,06/06/2006,2.03
DXY,13/06/2006,0.54
DXY,20/06/2006,0.21
DXY,27/06/2006,-1.51
DXY,04/07/2006,0.38
DXY,11/07/2006,1.71
DXY,18/07/2006,-0.71
DXY,25/07/2006,-1.2
DXY,01/08/2006,-0.64
DXY,08/08/2006,1.05
DXY,15/08/2006,-1.18
DXY,22/08/2006,0.71
DXY,29/08/2006,-0.34
DXY,05/09/2006,1.15
DXY,12/09/2006,-0.13
DXY,19/09/2006,-0.61
DXY,26/09/2006,0.35
DXY,03/10/2006,1.09
DXY,10/10/2006,0.55
DXY,17/10/2006,-0.33
DXY,24/10/2006,-1.29
DXY,31/10/2006,0.19
DXY,07/11/2006,-0.45
DXY,14/11/2006,0.07
DXY,21/11/2006,-2.24
DXY,28/11/2006,-1.22
DXY,05/12/2006,0.76
DXY,12/12/2006,1.03
DXY,19/12/2006,-0.05
DXY,26/12/2006,-0.26
DXY,02/01/2007,1.05
DXY,09/01/2007,0.51
DXY,16/01/2007,-0.01
DXY,23/01/2007,0.09
DXY,30/01/2007,-0.02
DXY,06/02/2007,0.08
DXY,13/02/2007,-1.24
DXY,20/02/2007,-0.19
DXY,27/02/2007,0.26
DXY,06/03/2007,-0.34
DXY,13/03/2007,-0.56
DXY,20/03/2007,-0.37
DXY,27/03/2007,-0.25
DXY,03/04/2007,0.28
DXY,10/04/2007,-1.24
DXY,17/04/2007,-0.4
DXY,24/04/2007,-0.35
DXY,01/05/2007,0.28
DXY,08/05/2007,0.48
DXY,15/05/2007,0.35
DXY,22/05/2007,-0.04
DXY,29/05/2007,-0.33
DXY,05/06/2007,0.79
DXY,12/06/2007,0
DXY,19/06/2007,-0.47
DXY,26/06/2007,-1.13
DXY,03/07/2007,0.05
DXY,10/07/2007,-1.12
DXY,17/07/2007,-0.21
DXY,24/07/2007,0.62
DXY,31/07/2007,-0.74
DXY,07/08/2007,1
DXY,14/08/2007,0.43
DXY,21/08/2007,-0.81
DXY,28/08/2007,0.06
DXY,04/09/2007,-1.2
DXY,11/09/2007,-0.13
DXY,18/09/2007,-1.49
DXY,25/09/2007,-0.8
DXY,02/10/2007,0.99
DXY,09/10/2007,-0.74
DXY,16/10/2007,-0.04
DXY,23/10/2007,-1.56
DXY,30/10/2007,-0.53
DXY,06/11/2007,-0.69
DXY,13/11/2007,-0.16
DXY,20/11/2007,-1.21
DXY,27/11/2007,1.43
DXY,04/12/2007,0.17
DXY,11/12/2007,1.76
DXY,18/12/2007,0.22
DXY,25/12/2007,-1.12
DXY,01/01/2008,-0.69
DXY,08/01/2008,-0.74
DXY,15/01/2008,1.67
DXY,22/01/2008,-1.68
DXY,29/01/2008,-0.28
DXY,05/02/2008,1.61
DXY,12/02/2008,-0.63
DXY,19/02/2008,-0.75
DXY,26/02/2008,-2.42
DXY,04/03/2008,-0.96
DXY,11/03/2008,-2.1
DXY,18/03/2008,2.09
DXY,25/03/2008,-1.58
DXY,01/04/2008,0.56
DXY,08/04/2008,-0.44
DXY,15/04/2008,-0.32
DXY,22/04/2008,1.59
DXY,29/04/2008,0.55
DXY,06/05/2008,-0.33
DXY,13/05/2008,0.12
DXY,20/05/2008,-1.57
DXY,27/05/2008,1.45
DXY,03/06/2008,-0.11
DXY,10/06/2008,1.04
DXY,17/06/2008,-0.24
DXY,24/06/2008,-1.32
DXY,01/07/2008,0.29
DXY,08/07/2008,-1.03
DXY,15/07/2008,0.1
DXY,22/07/2008,0.92
DXY,29/07/2008,1.11
DXY,05/08/2008,3.63
DXY,12/08/2008,1.3
DXY,19/08/2008,-0.43
DXY,26/08/2008,1.11
DXY,02/09/2008,2.51
DXY,09/09/2008,-0.85
DXY,16/09/2008,-3.5
DXY,23/09/2008,1.73
DXY,30/09/2008,5.43
DXY,07/10/2008,0.24
DXY,14/10/2008,1.49
DXY,21/10/2008,4.61
DXY,28/10/2008,-0.67
DXY,04/11/2008,-0.51
DXY,11/11/2008,1.05
DXY,18/11/2008,-0.84
DXY,25/11/2008,0.74
DXY,02/12/2008,-1.34
DXY,09/12/2008,-3.85
DXY,16/12/2008,-1.43
DXY,23/12/2008,-0.51
DXY,30/12/2008,2.43
DXY,06/01/2009,0.46
DXY,13/01/2009,2.05
DXY,20/01/2009,0.01
DXY,27/01/2009,1.58
DXY,03/02/2009,-1.49
DXY,10/02/2009,2.21
DXY,17/02/2009,0.67
DXY,24/02/2009,1.95
DXY,03/03/2009,0.08
DXY,10/03/2009,-2.31
DXY,17/03/2009,-4.05
DXY,24/03/2009,2.92
DXY,31/03/2009,-1.51
DXY,07/04/2009,0.08
DXY,14/04/2009,2.36
DXY,21/04/2009,-1.08
DXY,28/04/2009,-2.02
DXY,05/05/2009,-1.54
DXY,12/05/2009,-0.01
DXY,19/05/2009,-3.28
DXY,26/05/2009,-0.99
DXY,02/06/2009,2.2
DXY,09/06/2009,0.28
DXY,16/06/2009,-0.44
DXY,23/06/2009,-1.16
DXY,30/06/2009,0.76
DXY,07/07/2009,-0.4
DXY,14/07/2009,-1.52
DXY,21/07/2009,-0.35
DXY,28/07/2009,-1.26
DXY,04/08/2009,2.09
DXY,11/08/2009,0.04
DXY,18/08/2009,-1.29
DXY,25/08/2009,-0.13
DXY,01/09/2009,-0.19
DXY,08/09/2009,-1.69
DXY,15/09/2009,0.1
DXY,22/09/2009,0.35
DXY,29/09/2009,-0.53
DXY,06/10/2009,-0.67
DXY,13/10/2009,-0.81
DXY,20/10/2009,0.73
DXY,27/10/2009,0.3
DXY,03/11/2009,-1.65
DXY,10/11/2009,-0.16
DXY,17/11/2009,0.24
DXY,24/11/2009,-0.28
DXY,01/12/2009,1.19
DXY,08/12/2009,0.77
DXY,15/12/2009,2.21
DXY,22/12/2009,-0.53
DXY,29/12/2009,-0.13
DXY,05/01/2010,-0.68
DXY,12/01/2010,0.42
DXY,19/01/2010,1.13
DXY,26/01/2010,1.34
DXY,02/02/2010,1.34
DXY,09/02/2010,0.02
DXY,16/02/2010,0.24
DXY,23/02/2010,0.19
DXY,02/03/2010,-0.29
DXY,09/03/2010,-0.22
DXY,16/03/2010,0.5
DXY,23/03/2010,0.88
DXY,30/03/2010,-0.33
DXY,06/04/2010,-0.65
DXY,13/04/2010,0.55
DXY,20/04/2010,0.59
DXY,27/04/2010,0.97
DXY,04/05/2010,2.3
DXY,11/05/2010,2.44
DXY,18/05/2010,0
DXY,25/05/2010,0.44
DXY,01/06/2010,2.09
DXY,08/06/2010,-2.14
DXY,15/06/2010,-0.67
DXY,22/06/2010,-0.33
DXY,29/06/2010,-1.21
DXY,06/07/2010,-0.48
DXY,13/07/2010,-2.01
DXY,20/07/2010,-0.51
DXY,27/07/2010,-1.4
DXY,03/08/2010,-0.28
DXY,10/08/2010,2.25
DXY,17/08/2010,0.71
DXY,24/08/2010,0.05
DXY,31/08/2010,-1.35
DXY,07/09/2010,-0.16
DXY,14/09/2010,-0.7
DXY,21/09/2010,-2.46
DXY,28/09/2010,-1.12
DXY,05/10/2010,-1.29
DXY,12/10/2010,-0.66
DXY,19/10/2010,0.22
DXY,26/10/2010,0.26
DXY,02/11/2010,-0.35
DXY,09/11/2010,1.93
DXY,16/11/2010,0.2
DXY,23/11/2010,2.75
DXY,30/11/2010,-1.57
DXY,07/12/2010,-0.36
DXY,14/12/2010,1.7
DXY,21/12/2010,-0.32
DXY,28/12/2010,-1.54
DXY,04/01/2011,2.21
DXY,11/01/2011,-1.9
DXY,18/01/2011,-1.63
DXY,25/01/2011,-0.4
DXY,01/02/2011,0.37
DXY,08/02/2011,0.74
DXY,15/02/2011,-1.17
DXY,22/02/2011,-1.03
DXY,01/03/2011,-0.51
DXY,08/03/2011,-0.2
DXY,15/03/2011,-1.24
DXY,22/03/2011,0.97
DXY,29/03/2011,-0.29
DXY,05/04/2011,-1.12
DXY,12/04/2011,0.59
DXY,19/04/2011,-2
DXY,26/04/2011,-1.41
DXY,03/05/2011,2.45
DXY,10/05/2011,0.98
DXY,17/05/2011,0.83
DXY,24/05/2011,-1.5
DXY,31/05/2011,-1.35
DXY,07/06/2011,0.76
DXY,14/06/2011,0.7
DXY,21/06/2011,0.48
DXY,28/06/2011,-1.47
DXY,05/07/2011,2.3
DXY,12/07/2011,-0.67
DXY,19/07/2011,-1.88
DXY,26/07/2011,0.27
DXY,02/08/2011,0.71
DXY,09/08/2011,-1.27
DXY,16/08/2011,0.31
DXY,23/08/2011,-0.47
DXY,30/08/2011,1.99
DXY,06/09/2011,3.17
DXY,13/09/2011,-0.23
DXY,20/09/2011,1.25
DXY,27/09/2011,1.39
DXY,04/10/2011,-2.33
DXY,11/10/2011,-0.59
DXY,18/10/2011,-1.45
DXY,25/10/2011,0.2
DXY,01/11/2011,1.04
DXY,08/11/2011,0.78
DXY,15/11/2011,0.95
DXY,22/11/2011,1.26
DXY,29/11/2011,-0.86
DXY,06/12/2011,1.22
DXY,13/12/2011,0.85
DXY,20/12/2011,-0.3
DXY,27/12/2011,0.2
DXY,03/01/2012,1.1
DXY,10/01/2012,0.47
DXY,17/01/2012,-2.14
DXY,24/01/2012,-0.67
DXY,31/01/2012,-0.09
DXY,07/02/2012,-0.19
DXY,14/02/2012,0.49
DXY,21/02/2012,-0.97
DXY,28/02/2012,0.97
DXY,06/03/2012,0.69
DXY,13/03/2012,-0.53
DXY,20/03/2012,-0.65
DXY,27/03/2012,-0.14
DXY,03/04/2012,1.15
DXY,10/04/2012,-0.23
DXY,17/04/2012,-0.16
DXY,24/04/2012,-0.79
DXY,01/05/2012,1.03
DXY,08/05/2012,1.26
DXY,15/05/2012,0.6
DXY,22/05/2012,1.63
DXY,29/05/2012,0.18
DXY,05/06/2012,-0.05
DXY,12/06/2012,-0.69
DXY,19/06/2012,0.63
DXY,26/06/2012,-0.72
DXY,03/07/2012,1.58
DXY,10/07/2012,-0.08
DXY,17/07/2012,0.75
DXY,24/07/2012,-1.1
DXY,31/07/2012,-0.63
DXY,07/08/2012,0.21
DXY,14/08/2012,0.02
DXY,21/08/2012,-0.97
DXY,28/08/2012,-0.5
DXY,04/09/2012,-1.1
DXY,11/09/2012,-1.68
DXY,18/09/2012,0.65
DXY,25/09/2012,0.38
DXY,02/10/2012,-0.35
DXY,09/10/2012,0.25
DXY,16/10/2012,-0.11
DXY,23/10/2012,0.53
DXY,30/10/2012,0.85
DXY,06/11/2012,0.36
DXY,13/11/2012,-0.21
DXY,20/11/2012,-0.77
DXY,27/11/2012,-0.46
DXY,04/12/2012,0.56
DXY,11/12/2012,-0.95
DXY,18/12/2012,0.09
DXY,25/12/2012,0.16
DXY,01/01/2013,0.61
DXY,08/01/2013,-0.96
DXY,15/01/2013,0.7
DXY,22/01/2013,-0.34
DXY,29/01/2013,-0.29
DXY,05/02/2013,0.96
DXY,12/02/2013,0.34
DXY,19/02/2013,1.35
DXY,26/02/2013,0.67
DXY,05/03/2013,0.43
DXY,12/03/2013,0.15
DXY,19/03/2013,0.22
DXY,26/03/2013,-0.17
DXY,02/04/2013,0.02
DXY,09/04/2013,-0.4
DXY,16/04/2013,0.32
DXY,23/04/2013,-0.64
DXY,30/04/2013,0.21
DXY,07/05/2013,1.14
DXY,14/05/2013,0.66
DXY,21/05/2013,-0.13
DXY,28/05/2013,-1.22
DXY,04/06/2013,-1.25
DXY,11/06/2013,-1.32
DXY,18/06/2013,2.31
DXY,25/06/2013,0.67
DXY,02/07/2013,1.47
DXY,09/07/2013,-1.38
DXY,16/07/2013,-0.99
DXY,23/07/2013,-0.68
DXY,30/07/2013,0.27
DXY,06/08/2013,-0.67
DXY,13/08/2013,-0.12
DXY,20/08/2013,0.17
DXY,27/08/2013,0.88
DXY,03/09/2013,-0.37
DXY,10/09/2013,-0.66
DXY,17/09/2013,-0.98
DXY,24/09/2013,-0.29
DXY,01/10/2013,-0.35
DXY,08/10/2013,0.4
DXY,15/10/2013,-0.72
DXY,22/10/2013,-0.54
DXY,29/10/2013,1.64
DXY,05/11/2013,0.67
DXY,12/11/2013,-0.32
DXY,19/11/2013,0.11
DXY,26/11/2013,-0.01
DXY,03/12/2013,-0.96
DXY,10/12/2013,-0.07
DXY,17/12/2013,0.47
DXY,24/12/2013,-0.56
DXY,31/12/2013,0.81
DXY,07/01/2014,-0.17
DXY,14/01/2014,0.93
DXY,21/01/2014,-0.94
DXY,28/01/2014,0.63
DXY,04/02/2014,-0.42
DXY,11/02/2014,-0.67
DXY,18/02/2014,0.1
DXY,25/02/2014,-0.17
DXY,04/03/2014,-0.4
DXY,11/03/2014,-0.45
DXY,18/03/2014,0.68
DXY,25/03/2014,0.21
DXY,01/04/2014,0.15
DXY,08/04/2014,-0.61
DXY,15/04/2014,0.28
DXY,22/04/2014,-0.34
DXY,29/04/2014,-0.24
DXY,06/05/2014,0.52
DXY,13/05/2014,0.11
DXY,20/05/2014,0.5
DXY,27/05/2014,0.31
DXY,03/06/2014,0.01
DXY,10/06/2014,-0.22
DXY,17/06/2014,-0.26
DXY,24/06/2014,-0.6
DXY,01/07/2014,0.55
DXY,08/07/2014,-0.04
DXY,15/07/2014,0.46
DXY,22/07/2014,0.58
DXY,29/07/2014,0.37
DXY,05/08/2014,0.17
DXY,12/08/2014,0.14
DXY,19/08/2014,1.19
DXY,26/08/2014,0.24
DXY,02/09/2014,1.79
DXY,09/09/2014,0.04
DXY,16/09/2014,0.49
DXY,23/09/2014,1.09
DXY,30/09/2014,0.14
DXY,07/10/2014,-0.33
DXY,14/10/2014,-0.56
DXY,21/10/2014,0.65
DXY,28/10/2014,2.12
DXY,04/11/2014,0.57
DXY,11/11/2014,0.14
DXY,18/11/2014,0.25
DXY,25/11/2014,-0.23
DXY,02/12/2014,1.24
DXY,09/12/2014,-0.65
DXY,16/12/2014,1.48
DXY,23/12/2014,0.47
DXY,30/12/2014,1.32
DXY,06/01/2015,0.66
DXY,13/01/2015,0.59
DXY,20/01/2015,2.46
DXY,27/01/2015,-0.32
DXY,03/02/2015,-0.05
DXY,10/02/2015,-0.12
DXY,17/02/2015,0.24
DXY,24/02/2015,0.94
DXY,03/03/2015,2.23
DXY,10/03/2015,2.06
DXY,17/03/2015,-2.58
DXY,24/03/2015,0.98
DXY,31/03/2015,-0.89
DXY,07/04/2015,2.45
DXY,14/04/2015,-1.56
DXY,21/04/2015,-1.19
DXY,28/04/2015,-1.33
DXY,05/05/2015,-0.49
DXY,12/05/2015,-0.86
DXY,19/05/2015,2.35
DXY,26/05/2015,1.03
DXY,02/06/2015,-2.15
DXY,09/06/2015,-0.51
DXY,16/06/2015,-0.51
DXY,23/06/2015,0.49
DXY,30/06/2015,1.59
DXY,07/07/2015,0.58
DXY,14/07/2015,1.21
DXY,21/07/2015,-1.56
DXY,28/07/2015,1.03
DXY,04/08/2015,-0.34
DXY,11/08/2015,-0.35
DXY,18/08/2015,-3.63
DXY,25/08/2015,2.83
DXY,01/09/2015,0.2
DXY,08/09/2015,-0.93
DXY,15/09/2015,0.67
DXY,22/09/2015,0.15
DXY,29/09/2015,0.08
DXY,06/10/2015,-1.32
DXY,13/10/2015,0.13
DXY,20/10/2015,2
DXY,27/10/2015,0.07
DXY,03/11/2015,2.11
DXY,10/11/2015,0.46
DXY,17/11/2015,0.36
DXY,24/11/2015,0.37
DXY,01/12/2015,-1.51
DXY,08/12/2015,-1.07
DXY,15/12/2015,0.88
DXY,22/12/2015,-0.55
DXY,29/12/2015,0.97
DXY,05/01/2016,-0.14
DXY,12/01/2016,0.4
DXY,19/01/2016,0.24
DXY,26/01/2016,-0.36
DXY,02/02/2016,-2.45
DXY,09/02/2016,-0.61
DXY,16/02/2016,1.46
DXY,23/02/2016,0.85
DXY,01/03/2016,-1.16
DXY,08/03/2016,-0.46
DXY,15/03/2016,-1.38
DXY,22/03/2016,0.68
DXY,29/03/2016,-1.49
DXY,05/04/2016,-0.59
DXY,12/04/2016,0.57
DXY,19/04/2016,0.37
DXY,26/04/2016,-2.33
DXY,03/05/2016,1.64
DXY,10/05/2016,0.45
DXY,17/05/2016,0.7
DXY,24/05/2016,0.3
DXY,31/05/2016,-1.7
DXY,07/06/2016,0.5
DXY,14/06/2016,-0.81
DXY,21/06/2016,3.13
DXY,28/06/2016,-1.13
DXY,05/07/2016,1.17
DXY,12/07/2016,-0.01
DXY,19/07/2016,0.76
DXY,26/07/2016,-1.62
DXY,02/08/2016,0.72
DXY,09/08/2016,-0.8
DXY,16/08/2016,-1.16
DXY,23/08/2016,1.12
DXY,30/08/2016,0.21
DXY,06/09/2016,-0.71
DXY,13/09/2016,0.78
DXY,20/09/2016,-0.55
DXY,27/09/2016,0.46
DXY,04/10/2016,1.22
DXY,11/10/2016,1
DXY,18/10/2016,0.8
DXY,25/10/2016,-0.22
DXY,01/11/2016,-0.68
DXY,08/11/2016,2.38
DXY,15/11/2016,0.94
DXY,22/11/2016,0.28
DXY,29/11/2016,-1.17
DXY,06/12/2016,0.82
DXY,13/12/2016,2.16
DXY,20/12/2016,-0.2
DXY,27/12/2016,-0.06
DXY,03/01/2017,-0.91
DXY,10/01/2017,-0.32
DXY,17/01/2017,-1.42
DXY,24/01/2017,0.27
DXY,31/01/2017,-0.52
