DATE,FED,BOE,BOC
01/07/2015,0.11,0.5,1.25
01/14/2015,0.12,0.5,1.25
01/21/2015,0.13,0.5,1
01/28/2015,0.12,0.5,1
02/04/2015,0.09,0.5,1
02/11/2015,0.12,0.5,1
02/18/2015,0.12,0.5,1
02/25/2015,0.12,0.5,1
03/04/2015,0.09,0.5,1
03/11/2015,0.12,0.5,1
03/18/2015,0.11,0.5,1
03/25/2015,0.12,0.5,1
04/01/2015,0.11,0.5,1
04/08/2015,0.12,0.5,1
04/15/2015,0.12,0.5,1
04/22/2015,0.13,0.5,1
04/29/2015,0.13,0.5,1
05/06/2015,0.12,0.5,1
05/13/2015,0.13,0.5,1
05/20/2015,0.13,0.5,1
05/27/2015,0.13,0.5,1
06/03/2015,0.1,0.5,1
06/10/2015,0.13,0.5,1
06/17/2015,0.13,0.5,1
06/24/2015,0.13,0.5,1
07/01/2015,0.12,0.5,1
07/08/2015,0.13,0.5,1
07/15/2015,0.13,0.5,0.75
07/22/2015,0.13,0.5,0.75
07/29/2015,0.13,0.5,0.75
08/05/2015,0.11,0.5,0.75
08/12/2015,0.14,0.5,0.75
08/19/2015,0.15,0.5,0.75
08/26/2015,0.15,0.5,0.75
09/02/2015,0.13,0.5,0.75
09/09/2015,0.14,0.5,0.75
09/16/2015,0.14,0.5,0.75
09/23/2015,0.14,0.5,0.75
09/30/2015,0.12,0.5,0.75
10/07/2015,0.13,0.5,0.75
10/14/2015,0.13,0.5,0.75
10/21/2015,0.13,0.5,0.75
10/28/2015,0.12,0.5,0.75
11/04/2015,0.1,0.5,0.75
11/11/2015,0.12,0.5,0.75
11/18/2015,0.12,0.5,0.75
11/25/2015,0.12,0.5,0.75
12/02/2015,0.12,0.5,0.75
12/09/2015,0.13,0.5,0.75
12/16/2015,0.14,0.5,0.75
12/23/2015,0.37,0.5,0.75
12/30/2015,0.36,0.5,0.75
01/06/2016,0.27,0.5,0.75
01/13/2016,0.36,0.5,0.75
01/20/2016,0.36,0.5,0.75
01/27/2016,0.38,0.5,0.75
02/03/2016,0.34,0.5,0.75
02/10/2016,0.38,0.5,0.75
02/17/2016,0.38,0.5,0.75
02/24/2016,0.38,0.5,0.75
03/02/2016,0.36,0.5,0.75
03/09/2016,0.36,0.5,0.75
03/16/2016,0.36,0.5,0.75
03/23/2016,0.37,0.5,0.75
03/30/2016,0.37,0.5,0.75
04/06/2016,0.35,0.5,0.75
04/13/2016,0.37,0.5,0.75
04/20/2016,0.37,0.5,0.75
04/27/2016,0.37,0.5,0.75
05/04/2016,0.34,0.5,0.75
05/11/2016,0.37,0.5,0.75
05/18/2016,0.37,0.5,0.75
05/25/2016,0.37,0.5,0.75
06/01/2016,0.36,0.5,0.75
06/08/2016,0.37,0.5,0.75
06/15/2016,0.37,0.5,0.75
06/22/2016,0.38,0.5,0.75
06/29/2016,0.4,0.5,0.75
07/06/2016,0.39,0.5,0.75
07/13/2016,0.4,0.5,0.75
07/20/2016,0.4,0.5,0.75
07/27/2016,0.4,0.5,0.75
08/03/2016,0.36,0.5,0.75
08/10/2016,0.4,0.25,0.75
08/17/2016,0.4,0.25,0.75
08/24/2016,0.4,0.25,0.75
08/31/2016,0.39,0.25,0.75
09/07/2016,0.4,0.25,0.75
09/14/2016,0.4,0.25,0.75
09/21/2016,0.4,0.25,0.75
09/28/2016,0.4,0.25,0.75
10/05/2016,0.35,0.25,0.75
10/12/2016,0.4,0.25,0.75
10/19/2016,0.41,0.25,0.75
10/26/2016,0.41,0.25,0.75
11/02/2016,0.4,0.25,0.75
11/09/2016,0.41,0.25,0.75
11/16/2016,0.41,0.25,0.75
11/23/2016,0.41,0.25,0.75
11/30/2016,0.4,0.25,0.75
12/07/2016,0.41,0.25,0.75
12/14/2016,0.41,0.25,0.75
12/21/2016,0.66,0.25,0.75
12/28/2016,0.66,0.25,0.75
01/04/2017,0.6,0.25,0.75
01/11/2017,0.66,0.25,0.75
01/18/2017,0.66,0.25,0.75
01/25/2017,0.66,0.25,0.75
02/01/2017,0.65,0.25,0.75
02/08/2017,0.66,0.25,0.75
02/15/2017,0.66,0.25,0.75
02/22/2017,0.66,0.25,0.75
03/01/2017,0.65,0.25,0.75
03/08/2017,0.66,0.25,0.75
03/15/2017,0.66,0.25,0.75
03/22/2017,0.91,0.25,0.75
03/29/2017,0.91,0.25,0.75
04/05/2017,0.87,0.25,0.75
04/12/2017,0.91,0.25,0.75
04/19/2017,0.91,0.25,0.75
04/26/2017,0.91,0.25,0.75
05/03/2017,0.88,0.25,0.75
05/10/2017,0.91,0.25,0.75
05/17/2017,0.91,0.25,0.75
05/24/2017,0.91,0.25,0.75
05/31/2017,0.9,0.25,0.75
06/07/2017,0.91,0.25,0.75
06/14/2017,0.91,0.25,0.75
06/21/2017,1.16,0.25,0.75
06/28/2017,1.16,0.25,0.75
07/05/2017,1.12,0.25,0.75
07/12/2017,1.16,0.25,1
07/19/2017,1.16,0.25,1
07/26/2017,1.16,0.25,1
08/02/2017,1.15,0.25,1
08/09/2017,1.16,0.25,1
08/16/2017,1.16,0.25,1
08/23/2017,1.16,0.25,1
08/30/2017,1.16,0.25,1
09/06/2017,1.15,0.25,1.25
09/13/2017,1.16,0.25,1.25
09/20/2017,1.16,0.25,1.25
09/27/2017,1.16,0.25,1.25
10/04/2017,1.12,0.25,1.25
10/11/2017,1.16,0.25,1.25
10/18/2017,1.16,0.25,1.25
10/25/2017,1.16,0.25,1.25
11/01/2017,1.15,0.25,1.25
11/08/2017,1.16,0.5,1.25
11/15/2017,1.16,0.5,1.25
11/22/2017,1.16,0.5,1.25
11/29/2017,1.16,0.5,1.25
12/06/2017,1.15,0.5,1.25
12/13/2017,1.16,0.5,1.25
12/20/2017,1.41,0.5,1.25
12/27/2017,1.42,0.5,1.25
01/03/2018,1.37,0.5,1.25
01/10/2018,1.42,0.5,1.25
01/17/2018,1.42,0.5,1.5
01/24/2018,1.42,0.5,1.5
01/31/2018,1.41,0.5,1.5
02/07/2018,1.42,0.5,1.5
02/14/2018,1.42,0.5,1.5
02/21/2018,1.42,0.5,1.5
02/28/2018,1.41,0.5,1.5
03/07/2018,1.42,0.5,1.5
03/14/2018,1.42,0.5,1.5
03/21/2018,1.43,0.5,1.5
03/28/2018,1.68,0.5,1.5
04/04/2018,1.68,0.5,1.5
04/11/2018,1.69,0.5,1.5
04/18/2018,1.69,0.5,1.5
04/25/2018,1.7,0.5,1.5
05/02/2018,1.7,0.5,1.5
05/09/2018,1.7,0.5,1.5
05/16/2018,1.7,0.5,1.5
05/23/2018,1.7,0.5,1.5
05/30/2018,1.7,0.5,1.5
06/06/2018,1.7,0.5,1.5
06/13/2018,1.7,0.5,1.5
06/20/2018,1.9,0.5,1.5
06/27/2018,1.92,0.5,1.5
07/04/2018,1.91,0.5,1.5
07/11/2018,1.91,0.5,1.75
07/18/2018,1.91,0.5,1.75
07/25/2018,1.91,0.5,1.75
08/01/2018,1.91,0.5,1.75
08/08/2018,1.91,0.75,1.75
08/15/2018,1.91,0.75,1.75
08/22/2018,1.92,0.75,1.75
08/29/2018,1.92,0.75,1.75
09/05/2018,1.91,0.75,1.75
09/12/2018,1.92,0.75,1.75
09/19/2018,1.92,0.75,1.75
09/26/2018,1.92,0.75,1.75
10/03/2018,2.18,0.75,1.75
10/10/2018,2.18,0.75,1.75
10/17/2018,2.18,0.75,1.75
10/24/2018,2.19,0.75,2
10/31/2018,2.2,0.75,2
11/07/2018,2.2,0.75,2
11/14/2018,2.19,0.75,2
11/21/2018,2.2,0.75,2
11/28/2018,2.2,0.75,2
12/05/2018,2.2,0.75,2
12/12/2018,2.19,0.75,2
12/19/2018,2.19,0.75,2
12/26/2018,2.4,0.75,2
01/02/2019,2.4,0.75,2
01/09/2019,2.4,0.75,2
01/16/2019,2.4,0.75,2
01/23/2019,2.4,0.75,2
01/30/2019,2.4,0.75,2
02/06/2019,2.4,0.75,2
02/13/2019,2.4,0.75,2
02/20/2019,2.4,0.75,2
02/27/2019,2.4,0.75,2
03/06/2019,2.4,0.75,2
03/13/2019,2.4,0.75,2
03/20/2019,2.4,0.75,2
03/27/2019,2.41,0.75,2
04/03/2019,2.42,0.75,2
04/10/2019,2.41,0.75,2
04/17/2019,2.41,0.75,2
04/24/2019,2.44,0.75,2
05/01/2019,2.44,0.75,2
05/08/2019,2.4,0.75,2
05/15/2019,2.38,0.75,2
05/22/2019,2.39,0.75,2
05/29/2019,2.38,0.75,2
06/05/2019,2.39,0.75,2
06/12/2019,2.37,0.75,2
06/19/2019,2.37,0.75,2
06/26/2019,2.38,0.75,2
07/03/2019,2.4,0.75,2
07/10/2019,2.41,0.75,2
07/17/2019,2.39,0.75,2
07/24/2019,2.41,0.75,2
07/31/2019,2.4,0.75,2
08/07/2019,2.13,0.75,2
08/14/2019,2.12,0.75,2
08/21/2019,2.13,0.75,2
08/28/2019,2.12,0.75,2
09/04/2019,2.13,0.75,2
09/11/2019,2.13,0.75,2
09/18/2019,2.19,0.75,2
09/25/2019,1.9,0.75,2
10/02/2019,1.85,0.75,2
10/09/2019,1.82,0.75,2
10/16/2019,1.84,0.75,2
10/23/2019,1.85,0.75,2
10/30/2019,1.83,0.75,2
11/06/2019,1.57,0.75,2
11/13/2019,1.55,0.75,2
11/20/2019,1.55,0.75,2
11/27/2019,1.55,0.75,2
12/04/2019,1.56,0.75,2
12/11/2019,1.55,0.75,2
12/18/2019,1.55,0.75,2
12/25/2019,1.55,0.75,2
01/01/2020,1.55,0.75,2
01/08/2020,1.55,0.75,2
01/15/2020,1.54,0.75,2
01/22/2020,1.55,0.75,2
01/29/2020,1.55,0.75,2
02/05/2020,1.59,0.75,2
02/12/2020,1.58,0.75,2
02/19/2020,1.58,0.75,2
02/26/2020,1.58,0.75,2
03/04/2020,1.51,0.75,1.5
03/11/2020,1.09,0.25,1.5
03/18/2020,0.74,0.25,1
03/25/2020,0.15,0.1,1
04/01/2020,0.09,0.1,0.5
04/08/2020,0.05,0.1,0.5
04/15/2020,0.05,0.1,0.5
04/22/2020,0.05,0.1,0.5
04/29/2020,0.04,0.1,0.5
05/06/2020,0.05,0.1,0.5
05/13/2020,0.05,0.1,0.5
05/20/2020,0.05,0.1,0.5
05/27/2020,0.05,0.1,0.5
06/03/2020,0.05,0.1,0.5
06/10/2020,0.07,0.1,0.5
06/17/2020,0.08,0.1,0.5
06/24/2020,0.09,0.1,0.5
07/01/2020,0.08,0.1,0.5
07/08/2020,0.09,0.1,0.5
07/15/2020,0.09,0.1,0.5
07/22/2020,0.09,0.1,0.5
07/29/2020,0.09,0.1,0.5
08/05/2020,0.1,0.1,0.5
08/12/2020,0.1,0.1,0.5
08/19/2020,0.1,0.1,0.5
08/26/2020,0.09,0.1,0.5
09/02/2020,0.09,0.1,0.5
09/09/2020,0.09,0.1,0.5
09/16/2020,0.09,0.1,0.5
09/23/2020,0.09,0.1,0.5
09/30/2020,0.09,0.1,0.5
10/07/2020,0.09,0.1,0.5
10/14/2020,0.09,0.1,0.5
10/21/2020,0.09,0.1,0.5
10/28/2020,0.09,0.1,0.5
11/04/2020,0.09,0.1,0.5
11/11/2020,0.09,0.1,0.5
11/18/2020,0.09,0.1,0.5
11/25/2020,0.08,0.1,0.5
12/02/2020,0.08,0.1,0.5
12/09/2020,0.09,0.1,0.5
12/16/2020,0.09,0.1,0.5
12/23/2020,0.09,0.1,0.5
12/30/2020,0.09,0.1,0.5
01/06/2021,0.09,0.1,0.5
01/13/2021,0.09,0.1,0.5
01/20/2021,0.09,0.1,0.5
01/27/2021,0.08,0.1,0.5
02/03/2021,0.07,0.1,0.5
02/10/2021,0.08,0.1,0.5
02/17/2021,0.08,0.1,0.5
02/24/2021,0.07,0.1,0.5
03/03/2021,0.07,0.1,0.5
03/10/2021,0.07,0.1,0.5
03/17/2021,0.07,0.1,0.5
03/24/2021,0.07,0.1,0.5
03/31/2021,0.07,0.1,0.5
04/07/2021,0.07,0.1,0.5
04/14/2021,0.07,0.1,0.5
04/21/2021,0.07,0.1,0.5
04/28/2021,0.07,0.1,0.5
05/05/2021,0.06,0.1,0.5
05/12/2021,0.06,0.1,0.5
05/19/2021,0.06,0.1,0.5
05/26/2021,0.06,0.1,0.5
06/02/2021,0.05,0.1,0.5
06/09/2021,0.06,0.1,0.5
06/16/2021,0.06,0.1,0.5
06/23/2021,0.1,0.1,0.5
06/30/2021,0.1,0.1,0.5
07/07/2021,0.1,0.1,0.5
07/14/2021,0.1,0.1,0.5
07/21/2021,0.1,0.1,0.5
07/28/2021,0.1,0.1,0.5
08/04/2021,0.09,0.1,0.5
08/11/2021,0.1,0.1,0.5
08/18/2021,0.1,0.1,0.5
08/25/2021,0.09,0.1,0.5
09/01/2021,0.08,0.1,0.5
09/08/2021,0.08,0.1,0.5
09/15/2021,0.08,0.1,0.5
09/22/2021,0.08,0.1,0.5
09/29/2021,0.08,0.1,0.5
10/06/2021,0.08,0.1,0.5
10/13/2021,0.08,0.1,0.5
10/20/2021,0.08,0.1,0.5
10/27/2021,0.08,0.1,0.5
11/03/2021,0.08,0.1,0.5
11/10/2021,0.08,0.1,0.5
11/17/2021,0.08,0.1,0.5
11/24/2021,0.08,0.1,0.5
12/01/2021,0.08,0.1,0.5
12/08/2021,0.08,0.1,0.5
12/15/2021,0.08,0.1,0.5
12/22/2021,0.08,0.25,0.5
12/29/2021,0.08,0.25,0.5
01/05/2022,0.08,0.25,0.5
01/12/2022,0.08,0.25,0.5
01/19/2022,0.08,0.25,0.5
01/26/2022,0.08,0.25,0.5
02/02/2022,0.08,0.25,0.5
02/09/2022,0.08,0.5,0.5
02/16/2022,0.08,0.5,0.5
02/23/2022,0.08,0.5,0.5
03/02/2022,0.08,0.5,0.5
03/09/2022,0.08,0.5,0.75
03/16/2022,0.08,0.5,0.75
03/23/2022,0.33,0.75,0.75
03/30/2022,0.33,0.75,0.75
04/06/2022,0.33,0.75,0.75
04/13/2022,0.33,0.75,0.75
04/20/2022,0.33,0.75,1.25
04/27/2022,0.33,0.75,1.25
05/04/2022,0.33,0.75,1.25
05/11/2022,0.83,1,1.25
05/18/2022,0.83,1,1.25
05/25/2022,0.83,1,1.25
06/01/2022,0.83,1,1.25
06/08/2022,0.83,1,1.75
06/15/2022,0.83,1,1.75
06/22/2022,1.58,1.25,1.75
06/29/2022,1.58,1.25,1.75
07/06/2022,1.58,1.25,1.75
07/13/2022,1.58,1.25,1.75
07/20/2022,1.58,1.25,2.75
07/27/2022,1.58,1.25,2.75
08/03/2022,2.33,1.25,2.75
08/10/2022,2.33,1.75,2.75
08/17/2022,2.33,1.75,2.75
08/24/2022,2.33,1.75,2.75
08/31/2022,2.33,1.75,2.75
09/07/2022,2.33,1.75,2.75
09/14/2022,2.33,1.75,3.5
09/21/2022,2.33,1.75,3.5
09/28/2022,3.08,2.25,3.5
10/05/2022,3.08,2.25,3.5
10/12/2022,3.08,2.25,3.5
10/19/2022,3.08,2.25,3.5
10/26/2022,3.08,2.25,3.5
11/02/2022,3.08,2.25,4
11/09/2022,3.83,3,4
11/16/2022,3.83,3,4
11/23/2022,3.83,3,4
11/30/2022,3.83,3,4
12/07/2022,3.83,3,4
12/14/2022,3.83,3,4.5
12/21/2022,4.33,3.5,4.5
12/28/2022,4.33,3.5,4.5
