Date,Open,High,Low,Close,DXY_Change,Open,High,Low,Close,USDJPY_Change
01/01/2017,102.379997,103.82,101.300003,102.220001,-0.16,116.889999,118.593002,115.263,116.919998,0.026
08/01/2017,102.260002,102.949997,100.720001,101.18,-1.06,116.919998,117.524002,113.760002,114.570999,-2.009
15/01/2017,101.660004,101.730003,100.279999,100.739998,-0.90,114.570999,115.521004,112.644997,114.528999,-0.037
22/01/2017,100.720001,100.82,99.790001,100.529999,-0.19,114.528999,115.335999,112.580002,115.059998,0.464
29/01/2017,100.349998,101.019997,99.230003,99.870003,-0.48,115.059998,115.070999,112.077003,112.690002,-2.060
05/02/2017,99.620003,101.010002,99.620003,100.800003,1.18,112.568001,113.839996,111.598999,113.18,0.544
12/02/2017,100.849998,101.760002,100.410004,100.949997,0.10,113.212997,114.941002,112.628998,112.860001,-0.312
19/02/2017,100.940002,101.720001,100.660004,101.089996,0.15,112.860001,113.753998,112.064003,112.184998,-0.598
26/02/2017,101.080002,102.260002,100.690002,101.540001,0.46,112.184998,114.536003,111.783501,114,1.618
05/03/2017,101.440002,102.25,101.169998,101.25,-0.19,114.010002,115.487999,113.560501,115.149002,0.999
12/03/2017,101.279999,101.790001,100.139999,100.300003,-0.97,114.75,115.176003,112.551498,112.709999,-1.778
19/03/2017,100.339996,100.449997,99.529999,99.629997,-0.71,112.709999,112.884003,110.632004,111.337997,-1.217
26/03/2017,99.43,100.650002,98.860001,100.349998,0.93,111.337997,112.181,110.121002,111.358574,0.018
02/04/2017,100.5,101.260002,100.370003,101.18,0.68,111.370003,111.573997,110.152,111.059998,-0.278
09/04/2017,101.129997,101.339996,100.010002,100.559998,-0.56,111.168999,111.571999,108.563004,108.635002,-2.279
16/04/2017,100.470001,100.470001,99.370003,99.980003,-0.49,108.635002,109.411003,108.141998,109.170303,0.493
23/04/2017,98.790001,99.330002,98.699997,99.050003,0.26,109.07,111.723999,109.07,111.529999,2.255
30/04/2017,98.93,99.459999,98.540001,98.650002,-0.28,111.529999,113.038002,111.209999,112.739571,1.085
07/05/2017,98.5,99.889999,98.5,99.25,0.76,113.055,114.335999,112.403,113.378685,0.286
14/05/2017,99.160004,99.260002,97.080002,97.150002,-2.03,113.345001,113.757004,110.226501,111.25,-1.848
21/05/2017,97.160004,97.550003,96.800003,97.400002,0.25,111.260002,112.111,110.859001,111.316002,0.050
28/05/2017,97.43,97.779999,96.650002,96.720001,-0.73,111.316002,111.698997,110.342003,110.389999,-0.832
04/06/2017,96.68,97.5,96.510002,97.269997,0.61,110.389999,110.787003,109.127998,110.309998,-0.072
11/06/2017,97.269997,97.559998,96.32,97.160004,-0.11,110.309998,111.403999,108.944,110.870003,0.508
18/06/2017,97.110001,97.870003,97.050003,97.300003,0.20,110.870003,111.766998,110.723,111.279999,0.370
25/06/2017,97.300003,97.470001,95.470001,95.660004,-1.69,111.279999,112.919998,111.128998,112.400002,1.006
02/07/2017,95.620003,96.510002,95.620003,96.010002,0.41,112.400002,114.167999,111.945999,113.900002,1.335
09/07/2017,96.040001,96.209999,95.089996,95.110001,-0.97,113.889999,114.292999,112.269997,112.61261,-1.122
16/07/2017,95.099998,95.349998,93.849998,93.940002,-1.22,112.494003,112.848,111.095001,111.120003,-1.221
23/07/2017,93.949997,94.290001,93.150002,93.260002,-0.73,111.120003,112.142998,110.627998,110.660004,-0.414
30/07/2017,93.360001,93.769997,92.550003,93.540001,0.19,110.660004,111.019997,109.863998,110.741974,0.074
06/08/2017,93.5,93.889999,92.93,93.07,-0.46,110.695,110.903,108.796997,109.18,-1.369
13/08/2017,93.089996,94.150002,93.050003,93.43,0.37,109.18,110.941002,108.605003,109.209999,0.027
20/08/2017,93.43,93.629997,92.419998,92.739998,-0.74,109.209999,109.806,108.633003,109.440002,0.211
27/08/2017,92.360001,93.349998,91.620003,92.809998,0.49,109.440002,110.644997,108.328003,110.25,0.740
03/09/2017,92.660004,92.730003,91.010002,91.330002,-1.44,110.25,110.25,107.321999,107.82,-2.204
10/09/2017,91.860001,92.660004,91.419998,91.870003,0.01,107.82,111.320999,107.82,110.864746,2.824
17/09/2017,91.93,92.699997,91.529999,92.169998,0.26,110.839996,112.707001,110.82,111.982086,1.030
24/09/2017,92.32,93.669998,92.209999,93.080002,0.82,111.978996,113.237,111.499001,112.994347,0.907
01/10/2017,93.290001,94.269997,93.120003,93.800003,0.55,112.459,113.431,112.325996,112.639999,0.161
08/10/2017,93.769997,93.839996,92.75,93.089996,-0.73,112.639999,112.820999,111.698997,112.238998,-0.356
15/10/2017,93.07,93.800003,93.059998,93.699997,0.68,111.82,113.561996,111.651001,112.68,0.769
22/10/2017,93.839996,95.150002,93.480003,94.919998,1.15,113.519997,114.435997,113.262001,114.124001,0.532
29/10/2017,94.790001,95.019997,94.410004,94.940002,0.16,113.660004,114.406998,112.973999,114.015999,0.313
05/11/2017,94.870003,95.150002,94.260002,94.389999,-0.51,114.07,114.724998,113.236,113.519997,-0.482
12/11/2017,94.410004,94.639999,93.400002,93.660004,-0.79,113.519997,113.906998,111.973,112.07,-1.277
19/11/2017,93.709999,94.169998,92.68,92.760002,-1.01,112.080002,112.699997,111.070999,111.508003,-0.510
26/11/2017,92.690002,93.510002,92.5,92.900002,0.23,111.540001,112.851997,110.847,112.099998,0.502
03/12/2017,93.220001,94.089996,93.040001,93.900002,0.73,112.105003,113.584999,112.007004,113.470001,1.218
10/12/2017,93.919998,94.220001,93.279999,93.93,0.01,113.480003,113.738998,112.042999,112.396004,-0.955
17/12/2017,93.980003,94.029999,93.160004,93.349998,-0.67,112.580002,113.614998,112.329002,113.260002,0.604
24/12/2017,93.25,93.400002,92.080002,92.120003,-1.21,113.264999,113.350998,112.468002,112.669998,-0.525
31/12/2017,92.239998,92.260002,91.75,91.949997,-0.31,112.68,113.289001,112.074997,112.782997,0.091
07/01/2018,92.059998,92.639999,90.900002,90.970001,-1.18,113.074997,113.370003,111.002998,111.029999,-1.809
14/01/2018,90.940002,91,90.110001,90.57,-0.41,111.035004,111.473999,110.208,110.760002,-0.248
21/01/2018,90.669998,90.699997,88.440002,89.07,-1.76,110.760002,111.160004,108.292,109.704002,-0.953
28/01/2018,89.019997,89.639999,88.559998,89.199997,0.20,109.662003,110.467003,108.292,110.089996,0.390
04/02/2018,89.190002,90.57,89.019997,90.440002,1.40,110.099998,110.253998,108.444,108.785004,-1.194
11/02/2018,90.330002,90.43,88.25,89.099998,-1.36,108.792,108.792,105.557999,106.309998,-2.281
18/02/2018,89.239998,90.239998,89.220001,89.879997,0.72,106.309998,107.889,106.098,106.879997,0.536
25/02/2018,89.879997,90.93,89.5,89.940002,0.07,106.870003,107.639999,105.263496,105.745003,-1.053
04/03/2018,89.830002,90.360001,89.410004,90.089996,0.29,105.745003,107.028999,105.348999,106.405998,0.625
11/03/2018,90.110001,90.379997,89.559998,90.230003,0.13,106.886002,107.275002,105.607002,106.308998,-0.540
18/03/2018,90.199997,90.449997,89.400002,89.440002,-0.84,106.328003,106.583,104.667,104.730003,-1.503
25/03/2018,89.470001,90.18,88.940002,89.970001,0.56,104.730003,106.926003,104.730003,106.269997,1.470
01/04/2018,89.970001,90.599998,89.82,90.110001,0.16,106.269997,107.481003,105.695,106.925003,0.616
08/04/2018,90.07,90.269997,89.360001,89.800003,-0.30,106.925003,107.774002,106.628998,107.222,0.278
15/04/2018,89.769997,90.480003,89.230003,90.32,0.61,107.339996,107.848,106.884003,107.68,0.317
22/04/2018,90.32,91.989998,90.32,91.540001,1.35,107.660004,109.532997,107.660004,109.300003,1.523
29/04/2018,91.529999,92.900002,91.480003,92.57,1.14,109.010002,109.998001,108.649002,109.110001,0.092
06/05/2018,92.57,93.419998,92.370003,92.540001,-0.03,109.099998,109.987,108.757004,109.400002,0.275
13/05/2018,92.550003,93.830002,92.239998,93.639999,1.18,109.370003,111.071999,109.209999,110.75,1.262
20/05/2018,93.669998,94.279999,93.290001,94.190002,0.56,110.75,111.385002,108.975998,109.311996,-1.298
27/05/2018,94.25,95.029999,93.720001,94.190002,-0.06,109.389999,109.731003,108.399002,109.540001,0.137
03/06/2018,94.160004,94.32,93.209999,93.550003,-0.65,109.540001,110.214996,109.198997,109.544998,0.005
10/06/2018,93.540001,95.129997,93.190002,94.790001,1.34,109.544998,110.897003,109.399002,110.644997,1.004
17/06/2018,94.790001,95.529999,94.43,94.519997,-0.28,110.669998,110.749001,109.558998,109.952003,-0.649
24/06/2018,94.5,95.529999,94.169998,94.629997,0.14,109.935997,110.917999,109.380997,110.486,0.500
01/07/2018,94.629997,95.139999,93.919998,94.040001,-0.62,110.737,111.125999,110.281998,110.470001,-0.241
08/07/2018,93.970001,95.239998,93.709999,94.75,0.83,110.449997,112.792999,110.360001,112.665001,2.005
15/07/2018,94.690002,95.650002,94.300003,94.459999,-0.24,112.379997,113.147003,111.43,111.410004,-0.863
22/07/2018,94.43,94.910004,94.080002,94.68,0.26,111.43,111.449997,110.602997,111.146004,-0.255
29/07/2018,94.660004,95.370003,94.160004,95.139999,0.51,111.040001,112.137001,110.859001,111.690002,0.585
05/08/2018,95.199997,96.449997,94.989998,96.360001,1.22,111.260002,111.522003,110.517998,111.091003,-0.152
12/08/2018,95.190002,96.980003,95.160004,96.099998,0.96,110.870003,111.417999,110.114998,111.003998,0.121
19/08/2018,96.129997,96.400002,94.93,95.150002,-1.02,110.5,111.481003,109.776001,111.366997,0.785
26/08/2018,95.169998,95.300003,94.43,95.139999,-0.03,111.337997,111.811996,110.685997,110.999001,-0.304
02/09/2018,95.190002,95.739998,94.870003,95.370003,0.19,111.035004,111.751999,110.394997,110.495003,-0.486
09/09/2018,95.43,95.559998,94.360001,94.980003,-0.47,111,112.165001,110.875,112.012001,0.912
16/09/2018,94.93,94.980003,93.809998,94.220001,-0.75,112.046997,112.871002,111.667,112.559998,0.458
23/09/2018,94.230003,95.370003,93.839996,95.190002,1.02,112.559998,113.695999,112.444,113.357002,0.708
30/09/2018,95.110001,96.120003,95,95.620003,0.54,113.682999,114.511002,113.517998,113.720001,0.033
07/10/2018,95.620003,96.160004,94.949997,95.220001,-0.42,113.690002,113.940002,111.888,112.080002,-1.416
14/10/2018,95.349998,96.089996,94.790001,95.709999,0.38,112.101997,112.724998,111.623001,112.184998,0.074
21/10/2018,95.660004,96.860001,95.470001,96.360001,0.73,112.210999,112.874001,111.385002,112.349998,0.124
28/10/2018,96.440002,97.199997,95.989998,96.540001,0.10,111.891998,113.375,111.790001,112.714996,0.736
04/11/2018,96.440002,97.010002,95.68,96.910004,0.49,113.199997,114.001999,112.949997,113.953003,0.665
11/11/2018,97.050003,97.690002,96.400002,96.470001,-0.60,113.824997,114.183998,112.679001,113.555,-0.237
18/11/2018,96.43,96.980003,96.040001,96.919998,0.51,112.809998,113.141998,112.300003,112.945,0.120
25/11/2018,96.93,97.540001,96.629997,97.269997,0.35,112.945,114.014999,112.903999,113.411003,0.413
02/12/2018,97.129997,97.209999,96.379997,96.510002,-0.64,113.502998,113.758003,112.239998,112.689003,-0.717
09/12/2018,96.720001,97.709999,96.360001,97.440002,0.74,112.731003,113.702003,112.249001,113.559998,0.735
16/12/2018,97.43,97.459999,96.169998,96.959999,-0.48,113.572998,113.667999,110.939003,111.209999,-2.081
23/12/2018,96.940002,97.120003,96.190002,96.389999,-0.57,111.067001,111.222,109.990997,110.269997,-0.718
30/12/2018,96.400002,96.959999,95.82,96.190002,-0.22,110.269997,110.468002,106.776001,108.525002,-1.582
06/01/2019,96.160004,96.160004,95.029999,95.669998,-0.51,108.525002,109.077003,107.773003,108.544998,0.018
13/01/2019,95.650002,96.389999,95.470001,96.339996,0.72,108.544998,109.792,107.998001,109.153,0.560
20/01/2019,96.349998,96.68,95.739998,95.790001,-0.58,109.142998,109.973999,109.142998,109.540001,0.364
27/01/2019,95.790001,95.980003,95.160004,95.580002,-0.22,109.540001,109.736,108.5,108.844002,-0.635
03/02/2019,95.599998,96.690002,95.57,96.639999,1.09,109.489998,110.139999,109.473,109.732002,0.221
10/02/2019,96.660004,97.370003,96.620003,96.919998,0.27,109.720001,111.121002,109.720001,110.538002,0.746
17/02/2019,96.809998,97.089996,96.290001,96.510002,-0.31,110.489998,110.944,110.454002,110.674004,0.167
24/02/2019,96.519997,96.599998,95.82,96.529999,0.01,110.674004,111.975998,110.357002,111.910004,1.117
03/03/2019,96.339996,97.709999,96.330002,97.370003,1.07,111.910004,112.128998,110.830002,111.160004,-0.670
10/03/2019,97.389999,97.449997,96.389999,96.599998,-0.81,111.160004,111.896004,110.877998,111.752998,0.533
17/03/2019,96.57,96.809998,95.739998,96.650002,0.08,111.771004,111.896004,109.739998,110.806,-0.863
24/03/2019,96.639999,97.339996,96.410004,97.279999,0.66,109.910004,110.935997,109.728996,110.870003,0.873
31/03/2019,97.18,97.519997,96.959999,97.400002,0.23,110.870003,111.816002,110.862999,111.657997,0.711
07/04/2019,97.389999,97.400002,96.75,96.970001,-0.43,111.656998,112.019997,110.887001,112.019997,0.325
14/04/2019,96.93,97.489998,96.790001,97.470001,0.56,112.019997,112.157997,111.781998,111.988998,-0.028
21/04/2019,97.379997,98.330002,97.260002,98.010002,0.65,111.986,112.225998,111.401001,111.580002,-0.363
28/04/2019,98.029999,98.099998,97.150002,97.519997,-0.52,111.559998,111.883003,111.068001,111.495003,-0.058
05/05/2019,97.559998,97.739998,97.129997,97.330002,-0.24,111.487,111.622002,109.475998,109.806999,-1.507
12/05/2019,97.300003,98.029999,97.029999,98,0.72,109.858002,110.138,109.028999,109.871002,0.012
19/05/2019,97.959999,98.370003,97.550003,97.610001,-0.36,109.850998,110.648003,109.279999,109.300003,-0.502
26/05/2019,97.57,98.279999,97.550003,97.75,0.18,109.279999,109.920998,108.269997,109.357002,0.070
02/06/2019,97.639999,97.800003,96.459999,96.610001,-1.05,109.300003,109.388,107.82,108.454002,-0.774
09/06/2019,96.650002,97.580002,96.580002,97.57,0.95,108.457001,108.796997,107.898003,108.559998,0.095
16/06/2019,97.519997,97.769997,96.150002,96.220001,-1.33,108.550003,108.723,107.045998,107.277,-1.173
23/06/2019,96.18,96.389999,95.839996,96.129997,-0.05,107.294998,108.153,106.782997,107.747002,0.421
30/06/2019,96.25,97.440002,96.25,97.25,1.04,107.772003,108.612999,107.526001,108.459999,0.638
07/07/2019,97.230003,97.589996,96.790001,96.809998,-0.43,108.459999,108.984001,107.802002,108.587997,0.118
14/07/2019,96.839996,97.440002,96.669998,97.150002,0.32,107.910004,108.360001,107.337997,107.709999,-0.185
21/07/2019,97.150002,98.089996,97.129997,98.010002,0.89,107.709999,108.822998,107.709999,108.666,0.888
28/07/2019,97.989998,98.93,97.900002,98.099998,0.11,108.668999,109.278999,106.5,107.431,-1.139
04/08/2019,98.110001,98.139999,97.209999,97.489998,-0.63,107.401001,107.482002,105.272003,105.874001,-1.422
11/08/2019,97.540001,98.339996,97.32,98.139999,0.62,105.875,106.932999,105.049004,106.083,0.196
18/08/2019,98.169998,98.449997,97.589996,97.639999,-0.54,106.092003,106.719002,105.294998,105.400002,-0.652
25/08/2019,97.589996,99.019997,97.480003,98.919998,1.36,105.389999,106.537003,104.871002,106.438004,0.994
01/09/2019,98.830002,99.370003,98.010002,98.389999,-0.45,106.466003,107.193001,105.75,106.910004,0.417
08/09/2019,98.419998,99.099998,97.860001,98.260002,-0.16,106.910004,108.254997,106.769997,108.080002,1.094
15/09/2019,98.120003,98.739998,98.029999,98.510002,0.40,108.080002,108.463997,107.499001,108.041,-0.036
22/09/2019,98.510002,99.309998,98.290001,99.110001,0.61,108.068001,108.172997,107.004997,107.755997,-0.289
29/09/2019,99.120003,99.669998,98.639999,98.809998,-0.31,107.919998,108.447998,106.505997,106.921997,-0.925
06/10/2019,98.82,99.25,98.199997,98.300003,-0.53,106.93,108.608002,106.689003,107.879997,0.888
13/10/2019,98.360001,98.650002,97.139999,97.279999,-1.10,108.389999,108.917999,108.051003,108.581001,0.176
20/10/2019,97.339996,97.900002,97.150002,97.830002,0.50,108.591003,108.758003,108.252998,108.660004,0.064
27/10/2019,97.849998,98,97.110001,97.239998,-0.62,108.660004,109.042999,107.912003,107.996002,-0.611
03/11/2019,97.220001,98.400002,97.169998,98.349998,1.16,108.18,109.462997,108.18,109.274002,1.011
10/11/2019,98.370003,98.449997,97.959999,98,-0.38,109.272003,109.462997,108.274002,108.676003,-0.545
17/11/2019,97.980003,98.309998,97.68,98.269997,0.30,108.685997,109.063004,108.278,108.622002,-0.059
24/11/2019,98.269997,98.540001,98.169998,98.269997,0.00,108.622002,109.662003,108.622002,109.445,0.758
01/12/2019,98.269997,98.379997,97.360001,97.699997,-0.58,109.449997,109.720001,108.43,108.574997,-0.799
08/12/2019,97.68,97.720001,96.720001,97.169998,-0.52,108.574997,109.695999,108.428001,109.309998,0.677
15/12/2019,97.18,97.760002,96.93,97.709999,0.55,109.309998,109.669998,109.214996,109.419998,0.101
22/12/2019,97.669998,97.82,96.919998,96.919998,-0.77,109.419998,109.781998,109.309998,109.480003,0.055
29/12/2019,97,97.110001,96.360001,96.839996,-0.16,109.480003,111.410004,107.915001,108.019997,-1.334
